Index,System Time,Time Stamp,Channel,Direction,Frame ID,Type,Format,DLC,Data
01379,="12:36:59.881",0x7116C2,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 09 10 02 1B 02 0B 00 
01380,="12:36:59.881",0x7116CD,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01381,="12:36:59.881",0x71171D,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01382,="12:36:59.881",0x7117B1,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01383,="12:36:59.912",0x711809,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F1 06 00 01 
01384,="12:36:59.912",0x71180D,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F2 03 00 00 
01385,="12:36:59.912",0x711811,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F1 06 00 01 
01386,="12:36:59.912",0x711818,ch1,Receive,0x0081,Data,Standard,0x05,x| 1D F2 03 00 00 
01387,="12:36:59.912",0x7118B6,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 0A 00 00 00 00 77 00 
01388,="12:36:59.912",0x7118C0,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01389,="12:36:59.942",0x71191A,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01390,="12:36:59.942",0x7119A4,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01391,="12:36:59.971",0x711AA9,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 01 20 00 00 81 7E 50 
01392,="12:36:59.971",0x711AB4,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01393,="12:36:59.971",0x711ACF,ch1,Receive,0x04CA,Data,Standard,0x08,x| 00 01 01 00 00 00 00 00 
01394,="12:36:59.971",0x711B18,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01395,="12:37:00.002",0x711B97,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01396,="12:37:00.032",0x711C9C,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 02 30 20 4A 92 24 49 
01397,="12:37:00.032",0x711CA7,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01398,="12:37:00.032",0x711D16,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01399,="12:37:00.032",0x711D8B,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01400,="12:37:00.032",0x711D94,ch1,Receive,0x04CA,Data,Standard,0x08,x| 01 01 01 00 00 00 00 00 
01401,="12:37:00.062",0x711E90,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 03 00 00 01 00 07 85 
01402,="12:37:00.062",0x711E9A,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01403,="12:37:00.092",0x711F12,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01404,="12:37:00.092",0x711F7E,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01405,="12:37:00.122",0x712059,ch1,Receive,0x04CA,Data,Standard,0x08,x| 02 01 01 00 00 00 00 00 
01406,="12:37:00.122",0x712083,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 04 78 78 00 00 D8 00 
01407,="12:37:00.122",0x71208E,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01408,="12:37:00.122",0x712097,ch1,Receive,0x03C9,Data,Standard,0x05,x| 00 30 61 1E 64 
01409,="12:37:00.122",0x712110,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01410,="12:37:00.151",0x712171,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01411,="12:37:00.181",0x712276,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 05 00 00 00 00 00 00 
01412,="12:37:00.181",0x712281,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01413,="12:37:00.181",0x71230D,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01414,="12:37:00.181",0x71231F,ch1,Receive,0x04CA,Data,Standard,0x08,x| 03 01 00 00 00 00 00 00 
01415,="12:37:00.181",0x712365,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01416,="12:37:00.212",0x71246A,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 06 02 00 04 BB 02 00 
01417,="12:37:00.212",0x712475,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01418,="12:37:00.241",0x71250A,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01419,="12:37:00.241",0x712558,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01420,="12:37:00.272",0x7125E4,ch1,Receive,0x04CA,Data,Standard,0x08,x| 04 01 00 00 00 00 00 00 
01421,="12:37:00.272",0x71265D,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 07 04 B2 06 C8 00 00 
01422,="12:37:00.272",0x712668,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01423,="12:37:00.301",0x712708,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01424,="12:37:00.301",0x71274B,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01425,="12:37:00.332",0x712851,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 08 00 00 19 19 00 00 
01426,="12:37:00.332",0x71285B,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01427,="12:37:00.332",0x712906,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01428,="12:37:00.332",0x71293D,ch1,Receive,0x0001,Data,Standard,0x05,x| 1D F7 05 00 00 
01429,="12:37:00.332",0x712943,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01430,="12:37:00.361",0x712A44,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 09 10 02 1B 02 0B 00 
01431,="12:37:00.361",0x712A4E,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
01432,="12:37:00.391",0x712B02,ch1,Receive,0x0040,Data,Standard,0x08,x| 00 01 00 00 00 00 00 00 
01433,="12:37:00.391",0x712B32,ch1,Receive,0x0000,Data,Standard,0x08,x| 00 00 00 00 00 00 00 00 
01434,="12:37:00.422",0x712C38,ch1,Receive,0x0080,Data,Standard,0x08,x| 1D 0A 00 00 00 00 78 00 
01435,="12:37:00.422",0x712C42,ch1,Receive,0x0060,Data,Standard,0x08,x| 01 00 00 00 00 00 00 00 
